ID,Name,Sector,City,Funding Stage,International Presence,English Requirement
507,CDG Invest,Private Equity / VC,Rabat,Subsidiary (CDG),"Morocco, Africa",High — English investor relations
508,AfricInvest Morocco,Private Equity,Casablanca,Established,Pan-African — 17 countries,Very High — English fund management
509,Mediterrania Capital Partners,Private Equity,Casablanca,Established,"North Africa, Sub-Saharan",Very High — English deal-making
510,DisrupTech Ventures,Venture Capital,Casablanca,Established,MENA startups,Very High — English VC operations
511,UM6P Ventures,Venture Capital,Benguerir,Established (OCP),African startups,Very High — English VC
512,Azur Partners,Private Equity,Casablanca,Established,"Morocco, Africa",High — English investor relations
513,Enza Capital,Venture Capital,Casablanca,Established,"Morocco, Africa",Very High — English VC
514,Outlierz Ventures,Venture Capital,Casablanca,Established,African startups,Very High — English VC
515,212 Founders,Startup Accelerator,Casablanca,Established (CDG),"Morocco, Africa",Very High — English accelerator programs
516,Endeavor Morocco,Entrepreneurship Network,Casablanca,Subsidiary (Endeavor),Global,Very High — English mentorship
517,Startup Maroc,Ecosystem Support,Casablanca,Established,"Morocco, Africa",High — English events & programs
518,MNF Angels,Angel Investment,Casablanca,Established,Morocco,High — English pitch investment
519,Maroc Numeric Fund,Technology Investment,Casablanca,State-linked (CDG),Morocco,High — English tech evaluation
520,Al Mada Ventures,Venture Capital,Casablanca,Subsidiary (Al Mada),Africa,Very High — English VC ops
521,Imperium Capital,Investment Consulting,Casablanca,Established,"Africa, Middle East",High — English advisory
522,Capital Invest (BMCE),Private Equity,Casablanca,Subsidiary (BOA),"Morocco, Africa",High — English deal execution
523,Upline Capital Management,Asset Management,Casablanca,Subsidiary (BOA),Morocco,High — English portfolio mgmt
524,Attijari Invest,Investment,Casablanca,Subsidiary (Attijariwafa),Africa,High — English investor comms
525,Atlas Mara (Morocco hub),FinTech / Investment,Casablanca,Established,Pan-African,Very High — English corporate
526,Autoroute Digitale,GovTech / Digital Services,Rabat,Growth,Morocco,High — English digital transformation
527,Cleansolution,CleanTech,Casablanca,Seed,"Morocco, Africa",High — English investor relations
528,Smartengo,IoT / Smart Building,Casablanca,Seed,"Morocco, Europe",High — English product & sales
529,Gayya Ventures,Social Impact Investing,Casablanca,Established,"Morocco, Africa",High — English impact reporting
530,Afrimobility,MobilityTech,Casablanca,Pre-Seed,"Morocco, Africa",High — English pitch & product
531,Paymee,FinTech / Payments,Casablanca,Seed,Morocco,High — English investor comms
532,Noqta,Content / Media Tech,Casablanca,Seed,"Morocco, MENA",Medium-High — English product
533,Optimus Education,EdTech,Rabat,Seed,Morocco,Medium-High — English curriculum
534,Epione Morocco,HealthTech,Casablanca,Seed,"Morocco, Africa",High — English health tech
535,Handipme,HR SaaS,Casablanca,Seed,"Morocco, France",High — English SaaS product
536,Moulay Organic,Organic Agriculture,Meknès,Growth,EU organic export,High — English organic compliance
537,Jawla,Travel Tech,Casablanca,Pre-Seed,Morocco,Medium-High — English travel product
538,Mawrid,Legal Tech,Casablanca,Pre-Seed,Morocco,Medium-High — English tech
539,Masarat,FinTech / Investment,Casablanca,Seed,Morocco,High — English fintech
540,PocketShop,Retail Tech / E-commerce,Casablanca,Pre-Seed,Morocco,Medium-High — English product
541,Sanbid,Construction Tech,Casablanca,Seed,Morocco,Medium-High — English proptech
542,Sturio,Recruitment / HR Tech,Casablanca,Seed,"Morocco, Europe",High — English HR product
543,MaWinCar,Auto Insurance Tech,Casablanca,Seed,Morocco,Medium-High — English investor
544,SQLI Digital Experience,Digital Consulting,Casablanca,Listed (Euronext),"Europe, Middle East",Very High — English consulting
545,E-madina,Smart City Lab,Casablanca,Established (CDG),"Morocco, int'l partnerships",High — English smart city
546,Zettabyte Labs,AI / Software Dev,Casablanca,Seed,"US, Europe clients",Very High — English AI dev
547,Morocco AI (UM6P),AI Research / Ecosystem,Benguerir,Institutional,International AI community,Very High — English research
548,AMDIE (Investment Agency),FDI Promotion,Casablanca,State agency,International investment attraction,Very High — English investor targeting
549,CFCIM (French Chamber Morocco),Business Chamber,Casablanca,Association,France-Morocco trade,High — English trade events
550,British Chamber of Commerce Morocco,Business Chamber,Casablanca,Association,UK-Morocco trade,Very High — English trade events
551,AmCham Morocco,Business Chamber,Casablanca,Association,US-Morocco trade,Very High — English advocacy
552,CGEM (Employers' Confederation),Employers' Federation,Casablanca,Association,International business orgs,High — English policy & advocacy
553,Technopark Casablanca,Tech Incubator,Casablanca,State-linked,International startups,High — English incubation
554,Technopark Rabat,Tech Incubator,Rabat,State-linked,International startups,High — English incubation
555,Technopark Tangier,Tech Incubator,Tangier,State-linked,International startups,High — English programs
556,LaStartupFactory,Accelerator,Casablanca,Established,"Morocco, Africa",High — English accelerator
557,Impact Lab,Social Enterprise Hub,Casablanca,Established,"Morocco, Africa",High — English impact programs
558,Draper University Morocco,Entrepreneurship Ed,Casablanca,Partnership,US partnership,Very High — English programs
559,Flat6Labs Morocco,Accelerator,Casablanca,Subsidiary (Flat6Labs),"MENA, Africa",Very High — English accelerator
560,Change.org Morocco Office,Social Impact Tech,Rabat,Subsidiary,Global — US HQ,Very High — English operations
561,Apebi (IT Federation),IT Industry Body,Casablanca,Association,International ICT events,Very High — English industry advocacy
562,Bull Morocco (Atos),IT Infrastructure,Casablanca,Subsidiary (Atos),Global — France HQ,Very High — English corporate
563,T-Systems Morocco,IT Services,Casablanca,Subsidiary (Deutsche Telekom),Global — Germany HQ,Very High — English corporate
564,Logiciel.ma,Software Dev,Casablanca,Established,"Morocco, EU clients",High — English delivery
565,Inexlog,Business IT Solutions,Casablanca,Established,"Morocco, Africa",High — English implementation
566,o2b,SAP Consulting,Casablanca,Established,"Morocco, Africa",High — English SAP consulting
567,Casanet,Web / SaaS,Casablanca,Established,Morocco,Medium-High — English tech
568,MTDS (Maroc Telecom Data Solutions),Data Center / Cloud,Casablanca,Subsidiary (Maroc Telecom),Morocco,High — English cloud services
569,Broadcom Morocco,Semiconductors / Software,Casablanca,Subsidiary (Broadcom),Global — US HQ,Very High — English corporate
570,VMware Morocco,Virtualization / Cloud,Casablanca,Subsidiary (Broadcom),Global — US HQ,Very High — English corporate
571,Red Hat Morocco,Open Source / Cloud,Casablanca,Subsidiary (IBM),Global — US HQ,Very High — English corporate
572,Trend Micro Morocco,Cybersecurity,Casablanca,Subsidiary (Trend Micro),Global — Japan HQ,Very High — English corporate
573,Palo Alto Networks Morocco,Cybersecurity,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate
574,Fortinet Morocco,Cybersecurity,Casablanca,Subsidiary (Fortinet),Global — US HQ,Very High — English corporate
575,Check Point Morocco,Cybersecurity,Casablanca,Subsidiary (Check Point),Global — Israel HQ,Very High — English corporate
576,Kaspersky Morocco,Cybersecurity,Casablanca,Subsidiary (Kaspersky),Global — Russia/UK HQ,Very High — English corporate
577,Offensive Security Morocco,Cybersecurity Training,Casablanca,Established,International certifications,Very High — English security
578,Wavestone Morocco,IT Consulting,Casablanca,Subsidiary (Wavestone),Global — France HQ,Very High — English consulting
579,Alten Morocco,IT Engineering Consulting,Casablanca,Subsidiary (Alten),Global — France HQ,Very High — English engineering
580,Altran Morocco (Capgemini Eng),Engineering Consulting,Casablanca,Subsidiary (Capgemini),Global — France HQ,Very High — English engineering
581,Expleo Morocco,Engineering / Quality,Casablanca,Subsidiary (Expleo),Global — France HQ,Very High — English quality
582,Assystem Morocco,Nuclear / Eng Consulting,Rabat,Subsidiary (Assystem),Global — France HQ,Very High — English engineering
583,Berexia,IT Services / Cloud,Casablanca,Established,"Morocco, Africa",High — English cloud consulting
584,Omnidata,Data Analytics,Casablanca,Established,"Morocco, Africa",High — English analytics
585,Genious Communications,Digital Agency / IT,Casablanca,Established,"Morocco, Africa",High — English digital
586,Value Digital Services,IT Consulting,Casablanca,Established,"Morocco, Europe",High — English consulting
587,Atos Technology Solutions Morocco,IT Transformation,Casablanca,Subsidiary (Atos),Global,Very High — English delivery
588,Wipro Morocco,IT Services,Casablanca,Subsidiary (Wipro),Global — India HQ,Very High — English corporate
589,Infosys Morocco,IT Services,Casablanca,Subsidiary (Infosys),Global — India HQ,Very High — English corporate
590,TCS Morocco (Tata Consultancy),IT Services,Casablanca,Subsidiary (TCS),Global — India HQ,Very High — English corporate
591,Tech Mahindra Morocco,IT Services,Casablanca,Subsidiary (Tech Mahindra),Global — India HQ,Very High — English corporate
592,Mindtree Morocco (LTIMindtree),IT Services,Casablanca,Subsidiary (LTI),Global — India HQ,Very High — English corporate
593,Cognizant Morocco,IT Services,Casablanca,Subsidiary (Cognizant),Global — US HQ,Very High — English corporate
594,EPAM Morocco,Software Engineering,Casablanca,Subsidiary (EPAM),Global — US HQ,Very High — English corporate
595,GlobalLogic Morocco,Digital Engineering,Casablanca,Subsidiary (Hitachi),Global — US/Japan HQ,Very High — English corporate
596,Globant Morocco,Digital / AI,Casablanca,Subsidiary (Globant),Global — Argentina/US HQ,Very High — English corporate
597,Thoughtworks Morocco,Software Consulting,Casablanca,Subsidiary (Thoughtworks),Global — US HQ,Very High — English corporate
598,Endava Morocco,Software Dev,Casablanca,Subsidiary (Endava),Global — UK HQ,Very High — English delivery
599,BJIT Morocco,Software Dev,Casablanca,Subsidiary (BJIT),Global — Japan HQ,Very High — English engineering
600,4Tech Morocco,IT Solutions,Casablanca,Established,"Morocco, Europe",High — English delivery
601,BNP Paribas GBS Morocco,Shared Services / Finance,Casablanca,Subsidiary (BNP Paribas),Global — France HQ,Very High — English financial reporting
602,AXA Services Morocco,Shared Services / Insurance,Casablanca,Subsidiary (AXA),Global — France HQ,Very High — English insurance ops
603,Société Générale IT Center Morocco,IT Shared Services,Casablanca,Subsidiary (SocGen),Global — France HQ,Very High — English IT operations
604,Allianz Technology Morocco,IT / Operations Hub,Casablanca,Subsidiary (Allianz),Global — Germany HQ,Very High — English as corporate language
605,Dell Global Services Morocco,IT Support / Services,Casablanca,Subsidiary (Dell),Global — US HQ,Very High — English support ops
606,HP Inc. Morocco,IT Services,Casablanca,Subsidiary (HP),Global — US HQ,Very High — English corporate
607,Nokia Morocco,Telecom / R&D,Rabat,Subsidiary (Nokia),Global — Finland HQ,Very High — English engineering
608,Ericsson Morocco,Telecom Infrastructure,Rabat,Subsidiary (Ericsson),Global — Sweden HQ,Very High — English corporate
609,Amdocs Morocco,Telecom Software,Casablanca,Subsidiary (Amdocs),Global — US HQ,Very High — English software dev
610,Conduent Morocco,BPO / IT Services,Casablanca,Subsidiary (Conduent),Global — US HQ,Very High — English corporate
611,Sutherland Morocco,Digital BPO,Casablanca,Subsidiary (Sutherland),Global — US HQ,Very High — English digital ops
612,Wipro BPS Morocco,Business Process Services,Casablanca,Subsidiary (Wipro),Global — India HQ,Very High — English corporate
613,Genpact Morocco,BPO / Digital,Casablanca,Subsidiary (Genpact),Global — US HQ,Very High — English corporate
614,EXL Service Morocco,Analytics / BPO,Casablanca,Subsidiary (EXL),Global — US HQ,Very High — English analytics
615,Teleperformance Morocco,CX / BPO,Casablanca,Subsidiary (Teleperformance),Global — France HQ,Very High — English CX operations
616,Concentrix Morocco,CX Technology,Casablanca,Subsidiary (Concentrix),Global — US HQ,Very High — English customer ops
617,TTEC Morocco,CX / Digital Services,Casablanca,Subsidiary (TTEC),Global — US HQ,Very High — English digital CX
618,Konecta Morocco,BPO / CX,Casablanca,Subsidiary (Konecta),Global — Spain HQ,High — English CX operations
619,Transcom Morocco,BPO / CX,Rabat,Subsidiary (Transcom),Global — Sweden HQ,Very High — English customer ops
620,ResultsCX Morocco,CX Services,Casablanca,Subsidiary,Global — US HQ,Very High — English CX
621,TaskUs Morocco,Digital Services / CX,Casablanca,Subsidiary (TaskUs),Global — US/Philippines HQ,Very High — English as primary language
622,Startek Morocco,BPO / CX,Casablanca,Subsidiary (Startek),Global — US HQ,Very High — English corporate
623,iQor Morocco,BPO / Customer Mgmt,Casablanca,Subsidiary (iQor),Global — US HQ,Very High — English operations
624,Firstsource Morocco,BPO / Healthcare,Casablanca,Subsidiary (Firstsource),Global — India/UK HQ,Very High — English healthcare ops
625,Hinduja Global Solutions Morocco,BPO,Casablanca,Subsidiary (HGS),Global — India HQ,Very High — English corporate
626,Maximus Morocco,Gov Services / BPO,Casablanca,Subsidiary (Maximus),Global — US HQ,Very High — English public sector
627,Alorica Morocco,BPO / CX,Casablanca,Subsidiary (Alorica),Global — US HQ,Very High — English customer ops
628,Conectys Morocco,BPO / Content Mod,Casablanca,Subsidiary (Conectys),Global — Romania HQ,Very High — English content moderation
629,Ascensos Morocco,CX / E-commerce Support,Casablanca,Subsidiary (Ascensos),Global — UK HQ,Very High — English e-commerce
630,Atento Morocco,CRM / CX Services,Casablanca,Subsidiary (Atento),Global — Spain/US HQ,High — English CRM ops
631,Synnex (TD SYNNEX) Morocco,IT Distribution / Services,Casablanca,Subsidiary (TD SYNNEX),Global — US HQ,Very High — English corporate
632,Arrow Electronics Morocco,IT Distribution,Casablanca,Subsidiary (Arrow),Global — US HQ,Very High — English corporate
633,Ingram Micro Morocco,IT Distribution,Casablanca,Subsidiary (Ingram Micro),Global — US HQ,Very High — English corporate
634,SoftwareOne Morocco,IT Solutions / Cloud,Casablanca,Subsidiary (SoftwareOne),Global — Switzerland HQ,Very High — English corporate
635,Crayon Morocco,Cloud / IT Advisory,Casablanca,Subsidiary (Crayon),Global — Norway HQ,Very High — English corporate
636,Promamec,Medical Devices / Distribution,Casablanca,Established,"Morocco, Africa distribution",High — English medical compliance
637,Conmedic Group,Medical Devices / Mfg,Casablanca,Established,"Morocco, Africa",High — English regulatory
638,Expert Medical Holding,Medical Equipment,Casablanca,Established,"Morocco, Sub-Saharan Africa",High — English medical ops
639,MHS (Morocco Healthcare Supplier),Medical Distribution,Casablanca,Established,International brands,Very High — English vendor mgmt
640,Med Globalis,Medical Equipment,Casablanca,Established,International distribution,High — English medical procurement
641,Medtronic Morocco,Medical Devices,Casablanca,Subsidiary (Medtronic),Global — US/Ireland HQ,Very High — English corporate
642,Stryker Morocco,Medical Devices,Casablanca,Subsidiary (Stryker),Global — US HQ,Very High — English corporate
643,Siemens Healthineers Morocco,Medical Imaging,Casablanca,Subsidiary (Siemens),Global — Germany HQ,Very High — English corporate
644,GE HealthCare Morocco,Medical Imaging,Casablanca,Subsidiary (GE HealthCare),Global — US HQ,Very High — English corporate
645,Philips Healthcare Morocco,Medical Equipment,Casablanca,Subsidiary (Philips),Global — Netherlands HQ,Very High — English corporate
646,Abbott Morocco,Diagnostics / Pharma,Casablanca,Subsidiary (Abbott),Global — US HQ,Very High — English corporate
647,Beckman Coulter Morocco,Diagnostics,Casablanca,Subsidiary (Danaher),Global — US HQ,Very High — English corporate
648,bioMérieux Morocco,Diagnostics,Casablanca,Subsidiary (bioMérieux),Global — France HQ,Very High — English scientific
649,Carl Zeiss Morocco,Optics / Medical,Casablanca,Subsidiary (Zeiss),Global — Germany HQ,Very High — English corporate
650,Baxter Morocco,Medical Products,Casablanca,Subsidiary (Baxter),Global — US HQ,Very High — English corporate
651,B. Braun Morocco,Medical Devices,Casablanca,Subsidiary (B. Braun),Global — Germany HQ,Very High — English corporate
652,Boston Scientific Morocco,Medical Devices,Casablanca,Subsidiary (Boston Scientific),Global — US HQ,Very High — English corporate
653,Edwards Lifesciences Morocco,Medical Devices,Casablanca,Subsidiary (Edwards),Global — US HQ,Very High — English corporate
654,Coloplast Morocco,Medical Devices,Casablanca,Subsidiary (Coloplast),Global — Denmark HQ,Very High — English corporate
655,Smith & Nephew Morocco,Medical Devices,Casablanca,Subsidiary (S&N),Global — UK HQ,Very High — English corporate
656,Akdital,Private Hospital Group,Casablanca,Listed (Casablanca Bourse),Morocco (20+ clinics),High — English medical equipment procurement
657,Groupe Saham Health,Private Healthcare,Casablanca,Established (Saham),"Morocco, Africa",High — English healthcare standards
658,Clinique Internationale de Marrakech,Private Hospital,Marrakech,Established,International patients,Very High — English patient services
659,Koutoubia Group (Health Division),Healthcare / Wellness,Casablanca,Established,Morocco,Medium-High — English health standards
660,Deepecho,AI Prenatal Diagnostics,Rabat,Seed funded,"EU, Africa",Very High — English AI product
661,CMCP-International Paper,Packaging / Paper,Kénitra,Subsidiary (International Paper),Global — US HQ,Very High — English corporate
662,Amcor Morocco,Flexible Packaging,Casablanca,Subsidiary (Amcor),Global — Australia/Switzerland HQ,Very High — English corporate
663,Mondi Pap Sac Maghreb,Industrial Packaging,Casablanca,Subsidiary (Mondi),Global — UK/Austria HQ,Very High — English corporate
664,ALPLA Morocco,Plastic Packaging,Tangier,Subsidiary (ALPLA),Global — Austria HQ,Very High — English corporate
665,Tetra Pak Morocco,Food Packaging,Casablanca,Subsidiary (Tetra Pak),Global — Sweden HQ,Very High — English corporate
666,Sealed Air Morocco,Protective Packaging,Casablanca,Subsidiary (Sealed Air),Global — US HQ,Very High — English corporate
667,GPC (Gharb Papier et Carton),Paper / Cardboard,Kénitra,Established,"Morocco, Africa",High — English export operations
668,Altea Packaging SA,Flexible Packaging,Casablanca,Established,"Morocco, Africa, EU",High — English customer management
669,Oasis Pack,Food Packaging,Agadir,Established,Export to EU,High — English quality compliance
670,Pack Souss,Agricultural Packaging,Agadir,Established,EU export,High — English trade compliance
671,Maghreb Can,Metal Packaging,Casablanca,Subsidiary (Crown Holdings),Global — US HQ,Very High — English corporate
672,Comigel Morocco,Packaging / Food,Casablanca,Established,EU export,High — English quality mgmt
673,Induver Morocco,Glass Packaging,Casablanca,Subsidiary,Europe,High — English operations
674,Multisac Morocco,Big Bags / FIBC,Casablanca,Established,"EU, Africa export",High — English trade
675,Ynna Asment / Bags Division,Cement Packaging,Casablanca,Subsidiary (Ynna),Morocco,Medium-High — English ops
676,Printec Morocco,Digital Printing,Casablanca,Established,"Morocco, Africa",High — English tech
677,Imprimag,Commercial Printing,Casablanca,Established,Morocco,Medium-High — English clients
678,Imprimerie Najah El Jadida,Printing / Packaging,Casablanca,Listed (Casablanca Bourse),Morocco,Medium-High — English corporate
679,Rotocalc Morocco,Gravure Printing,Casablanca,Established,"EU, Africa",High — English production
680,Stora Enso Morocco,Renewable Packaging,Casablanca,Subsidiary (Stora Enso),Global — Finland HQ,Very High — English corporate
681,DS Smith Morocco,Corrugated Packaging,Casablanca,Subsidiary (DS Smith),Global — UK HQ,Very High — English corporate
682,Smurfit Kappa Morocco,Paper Packaging,Casablanca,Subsidiary (Smurfit Kappa),Global — Ireland HQ,Very High — English corporate
683,Ball Corporation Morocco,Metal Packaging,Casablanca,Subsidiary (Ball),Global — US HQ,Very High — English corporate
684,Pactiv Evergreen Morocco,Food Packaging,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate
685,SIG Combibloc Morocco,Aseptic Packaging,Casablanca,Subsidiary (SIG),Global — Switzerland HQ,Very High — English corporate
686,Boeing Morocco (Training/MRO),Aerospace,Casablanca,Partnership (Boeing),Global — US HQ,Very High — English aviation
687,Airbus Morocco,Aerospace,Casablanca,Subsidiary (Airbus),Global — EU HQ,Very High — English corporate
688,Leonardo Morocco,Aerospace / Defense,Casablanca,Subsidiary (Leonardo),Global — Italy HQ,Very High — English defense
689,Collins Aerospace Morocco,Aerospace Systems,Casablanca,Subsidiary (RTX),Global — US HQ,Very High — English corporate
690,UTC Aerospace Morocco,Aerospace Parts,Casablanca,Subsidiary (RTX),Global — US HQ,Very High — English corporate
691,Mecaero,Aerospace Mfg,Casablanca (Midparc),Established,EU/US aerospace export,Very High — English customer mgmt
692,Matis Aerospace,Aerostructures,Casablanca,JV (Hexcel/Safran),Global via parents,Very High — English aerospace
693,Aerotechnic Industries,MRO / Aerospace,Casablanca,Subsidiary (RAM/Safran),International MRO services,Very High — English aviation
694,GIMAS (Aerospace Industry Group),Industry Association,Casablanca,Association,International aerospace,Very High — English industry events
695,TAV Aviation Morocco,Airport Operations,Multiple,Subsidiary (TAV),Global — Turkey HQ,Very High — English aviation
696,Thales Alenia Space Morocco,Space / Satellite,Rabat,Subsidiary (Thales),Global — France HQ,Very High — English space ops
697,Latécoère Morocco,Aerostructures,Casablanca,Subsidiary (Latécoère),Global — France HQ,Very High — English engineering
698,Mersen Morocco,Electrical Components,Casablanca,Subsidiary (Mersen),Global — France HQ,Very High — English corporate
699,G4S Morocco,Security Services,Casablanca,Subsidiary (Allied Universal),Global — US HQ,Very High — English corporate
700,Securitas Morocco,Security / Safety,Casablanca,Subsidiary (Securitas),Global — Sweden HQ,Very High — English corporate
701,Prosegur Morocco,Security / Cash,Casablanca,Subsidiary (Prosegur),Global — Spain HQ,High — English corporate
702,Brink's Morocco,Cash Logistics / Security,Casablanca,Subsidiary (Brink's),Global — US HQ,Very High — English corporate
703,Tyco Morocco,Fire / Security,Casablanca,Subsidiary (Johnson Controls),Global — US HQ,Very High — English corporate
704,Bosch Security Morocco,Security Systems,Casablanca,Subsidiary (Bosch),Global — Germany HQ,Very High — English corporate
705,Axis Communications Morocco,Video Surveillance,Casablanca,Subsidiary (Axis/Canon),Global — Sweden HQ,Very High — English corporate
706,Hikvision Morocco,Video Surveillance,Casablanca,Subsidiary (Hikvision),Global — China HQ,High — English operations
707,IDEMIA Morocco,Identity / Biometrics,Rabat,Subsidiary (IDEMIA),Global — France HQ,Very High — English digital identity
708,Gemalto/Thales DIS Morocco,Digital Security,Casablanca,Subsidiary (Thales),Global — France HQ,Very High — English corporate
709,Airbus Defence Morocco,Defense Systems,Rabat,Subsidiary (Airbus),Global — EU HQ,Very High — English defense
710,BAE Systems Morocco,Defense / Cyber,Rabat,Subsidiary (BAE Systems),Global — UK HQ,Very High — English corporate
711,CBRE Morocco,Real Estate Services,Casablanca,Subsidiary (CBRE),Global — US HQ,Very High — English corporate
712,JLL Morocco,Real Estate Services,Casablanca,Subsidiary (JLL),Global — US HQ,Very High — English corporate
713,Cushman & Wakefield Morocco,Real Estate Services,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate
714,Savills Morocco,Real Estate Advisory,Casablanca,Subsidiary (Savills),Global — UK HQ,Very High — English corporate
715,Colliers Morocco,Real Estate Services,Casablanca,Subsidiary (Colliers),Global — Canada HQ,Very High — English corporate
716,Sodexo Morocco,Facility Services / Catering,Casablanca,Subsidiary (Sodexo),Global — France HQ,Very High — English corporate
717,Compass Group Morocco,Catering / FM,Casablanca,Subsidiary (Compass),Global — UK HQ,Very High — English corporate
718,ISS Morocco,Facility Services,Casablanca,Subsidiary (ISS),Global — Denmark HQ,Very High — English corporate
719,Engie Services Morocco,FM / Energy Services,Casablanca,Subsidiary (Engie),Global — France HQ,Very High — English corporate
720,ATALIAN Morocco,FM / Cleaning,Casablanca,Subsidiary (ATALIAN),Global — France HQ,High — English corporate
721,OCS Morocco,FM Services,Casablanca,Subsidiary (OCS),Global — UK HQ,Very High — English corporate
722,Randstad Morocco,HR / Temp Staffing,Casablanca,Subsidiary (Randstad),Global — Netherlands HQ,Very High — English corporate
723,Adecco Morocco,Staffing / HR,Casablanca,Subsidiary (Adecco),Global — Switzerland HQ,Very High — English corporate
724,Robert Half Morocco,Recruitment,Casablanca,Subsidiary (Robert Half),Global — US HQ,Very High — English executive recruitment
725,Korn Ferry Morocco,Executive Search,Casablanca,Subsidiary (Korn Ferry),Global — US HQ,Very High — English corporate
726,Spencer Stuart Morocco,Executive Search,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate
727,Egon Zehnder Morocco,Executive Search,Casablanca,Subsidiary,Global — Switzerland HQ,Very High — English corporate
728,Drees & Sommer Morocco,RE Consulting,Casablanca,Subsidiary,Global — Germany HQ,Very High — English corporate
729,Serco Morocco,Service Management,Casablanca,Subsidiary (Serco),Global — UK HQ,Very High — English public services
730,Regus Morocco (IWG),Coworking / Office,Casablanca,Subsidiary (IWG),Global — Switzerland HQ,Very High — English corporate
731,WeWork Morocco,Coworking,Casablanca,Subsidiary (WeWork),Global — US HQ,Very High — English corporate
732,WorkLoft Morocco,Coworking,Casablanca,Established,Morocco,High — English business community
733,The Amass Africa,Coworking / Community,Casablanca,Established,Africa,High — English startup community
734,New Work Lab,Coworking / Innovation,Casablanca,Established,Morocco,High — English innovation events
735,Bureau Veritas Morocco,Testing / Certification,Casablanca,Subsidiary (Bureau Veritas),Global — France HQ,Very High — English corporate
736,SGS Morocco,Testing / Certification,Casablanca,Subsidiary (SGS),Global — Switzerland HQ,Very High — English corporate
737,TUV Rheinland Morocco,Certification,Casablanca,Subsidiary (TUV),Global — Germany HQ,Very High — English corporate
738,TUV SUD Morocco,Testing / Certification,Casablanca,Subsidiary (TUV SUD),Global — Germany HQ,Very High — English corporate
739,Intertek Morocco,Quality Assurance,Casablanca,Subsidiary (Intertek),Global — UK HQ,Very High — English corporate
740,DNV Morocco,Classification / Advisory,Casablanca,Subsidiary (DNV),Global — Norway HQ,Very High — English corporate
741,Lloyd's Register Morocco,Classification,Casablanca,Subsidiary (Lloyd's Register),Global — UK HQ,Very High — English corporate
742,DEKRA Morocco,Inspection / Testing,Casablanca,Subsidiary (DEKRA),Global — Germany HQ,Very High — English corporate
743,Cotecna Morocco,Inspection / Testing,Casablanca,Subsidiary (Cotecna),Global — Switzerland HQ,Very High — English corporate
744,LRQA Morocco,Assurance / Certification,Casablanca,Subsidiary (LRQA),Global — UK HQ,Very High — English corporate
745,IMANOR (Moroccan Standards),Standards Body,Rabat,State,International standards bodies,Very High — English ISO compliance
746,Applus+ Morocco,Testing / Inspection,Casablanca,Subsidiary (Applus+),Global — Spain HQ,Very High — English corporate
747,Element Morocco,Testing / Certification,Casablanca,Subsidiary (Element),Global — UK HQ,Very High — English corporate
748,Eurofins Morocco,Lab Testing,Casablanca,Subsidiary (Eurofins),Global — Luxembourg HQ,Very High — English corporate
749,SOCOTEC Morocco,Inspection / Construction,Casablanca,Subsidiary (SOCOTEC),Global — France HQ,Very High — English corporate
750,Saybolt Morocco,Petroleum Inspection,Casablanca,Subsidiary (Core Lab),Global — US HQ,Very High — English corporate
751,Control Union Morocco,Certification / Agri,Casablanca,Subsidiary (Control Union),Global — Netherlands HQ,Very High — English certification
752,Ecocert Morocco,Organic Certification,Casablanca,Subsidiary (Ecocert),Global — France HQ,Very High — English organic compliance
753,AFNOR Morocco,Standards / Certification,Casablanca,Subsidiary (AFNOR),Global — France HQ,Very High — English standards
754,BSI Morocco,Standards / Certification,Casablanca,Subsidiary (BSI),Global — UK HQ,Very High — English standards
755,UL Solutions Morocco,Safety / Certification,Casablanca,Subsidiary (UL),Global — US HQ,Very High — English corporate
756,Voltalia Morocco,Renewables / Solar,Morocco,Subsidiary (Voltalia),Global — France HQ,Very High — English corporate
757,Enel Green Power Morocco,Renewables,Morocco,Subsidiary (Enel),Global — Italy HQ,Very High — English corporate
758,ACWA Power Morocco,Solar / Wind,Multiple,Subsidiary (ACWA Power),Global — Saudi Arabia HQ,Very High — English corporate
759,EDF Renewables Morocco,Solar / Wind,Morocco,Subsidiary (EDF),Global — France HQ,Very High — English corporate
760,Masdar Morocco,Clean Energy,Morocco,Subsidiary (Masdar),Global — UAE HQ,Very High — English corporate
761,AMEA Power Morocco,Renewables,Morocco,Subsidiary (AMEA),Global — UAE HQ,Very High — English corporate
762,Xlinks Morocco,Renewable Energy Export,Guelmim-Oued Noun,Growth / Project,UK interconnector project,Very High — English project language
763,TotalEnergies Renewables Morocco,Solar / Hydrogen,Morocco,Subsidiary (TotalEnergies),Global — France HQ,Very High — English corporate
764,Soluna Morocco,Solar Energy,Morocco,Established,International solar projects,High — English project management
765,GAIA Energy,Wind / Green H2,Casablanca,Established,"Morocco, international",High — English energy projects
766,Platinum Power,Hydro / Wind,Casablanca,Listed (Casablanca Bourse),"Morocco, Africa",High — English investor relations
767,Africa Energy Corp Morocco,Oil & Gas Exploration,Casablanca,Subsidiary,Global — Sweden HQ,Very High — English corporate
768,Sound Energy Morocco,Gas Exploration,Casablanca,Listed (London AIM),UK investors,Very High — English investor relations
